StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,UserLanguage,consent,age,resident,attention,treatment_First Click,treatment_Last Click,treatment_Page Submit,treatment_Click Count,control_First Click,control_Last Click,control_Page Submit,control_Click Count,trait_proportion_1_1,trait_proportion_1_2,trait_proportion_1_3,trait_proportion_2_1,trait_proportion_2_2,trait_proportion_2_3,trait_proportion_3_1,trait_proportion_3_2,trait_proportion_3_3,trait_proportion_4_1,trait_proportion_4_2,trait_proportion_4_3,trait_proportion_5_1,trait_proportion_5_2,trait_proportion_5_3,partyfeel_1,partyfeel_2,partyfeel_3,ideofeel_1,ideofeel_2,ideofeel_3,social_dist_1,social_dist_2,social_dist_3,social_dist_4,moral_dist_1,moral_dist_2,moral_dist_3,moral_dist_4,moral_dist_5,dehumize_rep_1,dehumize_rep_2,dehumize_rep_3,dehumize_rep_4,dehumize_rep_5,dehumize_rep_6,dehumize_rep_7,dehumize_rep_8,dehumize_rep_9,dehumize_rep_10,dehumize_rep_11,dehumize_rep_12,dehumize_rep_13,dehumize_rep_14,dehumanize_dem_1,dehumanize_dem_2,dehumanize_dem_3,dehumanize_dem_4,dehumanize_dem_5,dehumanize_dem_6,dehumanize_dem_7,dehumanize_dem_8,dehumanize_dem_9,dehumanize_dem_10,dehumanize_dem_11,dehumanize_dem_12,dehumanize_dem_13,dehumanize_dem_14,comp1,comp2_2,comp2_3,seek_out,ideo_diverse,d_person_1,d_person_2,d_person_3,gender,gender_99_TEXT,income,ses,educ,relig,race,race_6_TEXT,employ,science_trust,interest,know1,know2,ideo,pid,rep1,dem1,ind1,pid_import_d,pid_import_r,pid_import_i,pid_term_d,pid_term_r,pid_term_i,pid_we_d,pid_we_r,pid_we_i,pid_concept_d,pid_concept_r,pid_concept_i
8/7/2019 17:14,8/7/2019 17:18,0,100,276,1,EN,1,20,1,1,14.226,17.06,18.322,2,,,,,10,20,70,100,0,0,25,35,40,100,0,0,20,40,40,16,74,35,63,36,74,2,1,0,2,2,2,3,3,5,1,2,2,2,2,1,1,2,3,1,2,2,3,2,1,2,1,2,1,2,2,3,3,2,1,3,2,2,1,0,100,3,3,4,3,4,1,,0,0,2,1,1,,0,23,4,0,0,3,2,,1,,1,,,2,,,2,,,3,,
8/7/2019 17:15,8/7/2019 17:19,0,100,231,1,EN,1,29,1,1,30.918,35.519,36.247,4,,,,,0,50,50,80,20,0,50,25,25,50,25,25,50,30,20,51,89,51,50,50,100,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,50,50,2,2,4,4,4,0,,3,2,2,1,1,,1,23,2,1,0,4,2,,1,,2,,,2,,,3,,,3,,
8/7/2019 17:14,8/7/2019 17:19,0,100,293,1,EN,1,22,1,,,,,,0,0,18.502,0,0,90,10,85,15,0,0,90,10,80,0,20,20,50,30,44,63,50,61,38,60,1,1,1,1,2,1,1,1,6,2,2,2,2,2,2,2,1,3,1,2,2,1,2,2,2,1,1,1,1,1,3,2,1,1,1,3,2,1,60,40,4,4,3,3,3,1,,7,3,5,2,5,,1,24,2,0,0,2,2,,0,,4,,,4,,,3,,,3,,
8/7/2019 17:15,8/7/2019 17:19,0,100,230,1,EN,1,29,1,,,,,,0,0,2.95,0,50,50,0,50,50,0,10,20,70,70,10,20,20,50,30,22,91,63,25,71,20,2,0,1,0,3,2,2,2,6,3,1,2,2,2,2,3,3,3,2,2,4,4,2,4,3,4,2,2,3,4,2,2,3,1,1,2,2,1,40,60,2,3,3,2,5,1,,3,2,5,4,5,,1,22,3,1,0,3,2,,0,,2,,,2,,,4,,,3,,
8/7/2019 17:14,8/7/2019 17:19,0,100,314,1,EN,1,23,1,,,,,,18.801,18.801,20.126,1,25,25,50,60,25,15,25,25,50,25,15,60,15,35,50,10,25,85,30,90,45,0,0,1,1,5,5,5,6,6,3,2,3,4,1,2,3,4,1,1,3,3,4,3,2,3,3,3,2,2,2,3,4,2,3,4,2,1,0,35,65,4,4,2,3,2,1,,6,3,5,5,1,,1,21,0,0,0,6,1,,,3,,,4,,,2,,,3,,,3
8/7/2019 17:14,8/7/2019 17:19,0,100,307,1,EN,1,33,1,1,34.084,44.957,48.969,2,,,,,10,30,60,75,25,0,5,20,75,40,30,30,5,45,50,60,60,60,60,60,60,1,1,1,1,2,2,2,2,3,1,2,2,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,1,2,2,0,50,50,2,2,4,4,3,1,,7,2,5,1,1,,1,22,2,1,0,4,0,0,,,,4,,,2,,,3,,,3,
8/7/2019 17:13,8/7/2019 17:19,0,100,333,1,EN,1,30,1,1,4.331,14.875,16.524,2,,,,,25,45,30,40,30,30,30,35,35,45,24,31,45,35,20,89,99,90,81,95,87,2,2,2,2,6,5,6,6,5,3,3,3,4,4,3,4,4,4,3,4,4,3,4,3,4,4,4,4,4,3,4,3,3,3,4,4,3,1,50,50,4,4,6,5,5,1,,2,1,6,4,2,,1,24,4,1,0,2,0,1,,,,1,,,1,,,1,,,1,
8/7/2019 17:13,8/7/2019 17:19,0,100,361,1,EN,1,37,1,,,,,,0,0,2.89,0,0,0,100,60,40,0,0,0,100,40,40,20,0,20,80,51,51,62,51,51,78,1,1,1,1,2,2,2,1,6,2,2,2,2,3,3,1,1,1,1,3,2,1,1,2,2,2,2,1,2,1,2,3,2,1,1,1,1,0,50,50,1,1,3,3,2,1,,1,0,5,1,5,,1,23,0,1,0,4,1,,,3,,,5,,,2,,,3,,,3
8/7/2019 17:13,8/7/2019 17:19,0,100,353,1,EN,1,38,1,,,,,,2.011,4.866,21.823,2,0,50,50,100,0,0,0,50,50,90,10,0,0,80,20,0,72,20,84,0,10,2,0,0,2,5,5,5,5,6,1,1,3,4,3,3,1,1,1,4,2,4,1,1,2,3,1,1,2,2,3,3,2,2,2,1,3,2,0,0,100,1,0,4,4,4,1,,3,2,5,1,5,,1,23,4,1,1,1,2,,1,,2,,,2,,,4,,,3,,
8/7/2019 17:13,8/7/2019 17:19,0,100,355,1,EN,1,33,1,0,6.419,28.608,32.994,2,,,,,50,30,20,100,0,0,30,50,20,50,30,20,1,90,9,57,41,78,45,72,87,0,2,2,0,5,1,1,1,6,3,4,3,1,1,2,3,1,3,1,2,3,1,1,1,1,2,1,1,1,4,4,4,4,4,2,4,4,1,60,40,3,3,1,1,1,1,,3,2,6,5,5,,1,23,3,1,1,6,0,0,,,,4,,,4,,,4,,,4,
8/7/2019 17:14,8/7/2019 17:19,0,100,306,1,EN,1,24,1,1,0.271,7.965,18.048,3,,,,,0,50,50,100,0,0,0,50,50,80,20,0,40,40,20,100,0,29,0,100,34,0,2,2,0,6,6,6,6,6,1,4,3,1,1,1,3,1,2,1,1,1,3,2,1,1,1,4,4,4,1,1,1,4,1,4,1,1,0,100,0,3,3,4,5,4,1,,3,3,5,1,5,,1,21,2,1,1,6,0,1,,,,2,,,1,,,2,,,3,
8/7/2019 17:14,8/7/2019 17:19,0,100,343,1,EN,1,31,1,,,,,,0,0,3.467,0,40,20,40,20,40,40,40,30,30,30,30,40,40,40,20,100,50,100,73,92,100,2,2,2,2,2,3,5,5,6,3,4,2,3,4,2,3,3,2,3,2,3,4,3,2,3,4,3,3,2,3,2,2,4,3,4,3,4,1,90,10,3,4,4,5,6,1,,3,2,7,4,2,,1,21,3,0,0,7,0,1,,,,2,,,1,,,1,,,1,
8/7/2019 17:13,8/7/2019 17:19,0,100,375,1,EN,1,37,1,1,26.205,26.205,42.747,1,,,,,50,5,45,80,20,0,50,5,45,80,10,10,50,20,30,0,55,81,58,18,89,1,0,0,1,3,6,6,6,5,1,1,2,4,4,4,1,1,1,3,4,4,1,1,1,4,3,2,2,2,1,2,3,2,3,3,2,1,1,20,80,4,4,2,2,2,0,,2,2,5,1,5,,1,23,2,1,0,3,1,,,2,,,2,,,2,,,4,,,3
8/7/2019 17:14,8/7/2019 17:19,0,100,330,1,EN,1,41,1,,,,,,1.76,3.912,40.21,2,0,30,70,80,20,0,0,30,70,30,40,30,0,20,80,30,0,61,0,85,59,0,1,2,0,6,5,5,5,6,3,3,3,1,1,1,2,3,3,1,1,1,2,3,1,2,3,2,3,3,1,2,1,4,3,2,1,1,0,60,40,3,3,2,2,2,1,,0,0,2,4,5,,0,23,2,1,1,6,1,,,1,,,5,,,4,,,4,,,4
8/7/2019 17:14,8/7/2019 17:20,0,100,335,1,EN,1,43,1,,,,,,0,0,27.346,0,0,50,50,100,0,0,0,50,50,25,75,0,0,60,40,19,82,100,64,0,100,2,1,1,1,3,1,2,2,6,1,2,3,2,2,4,2,1,1,3,3,3,1,1,3,2,2,1,1,2,2,3,2,1,2,2,3,2,1,25,75,3,2,3,4,4,0,,3,2,2,1,5,,1,23,3,0,1,4,1,,,2,,,2,,,2,,,1,,,3
8/7/2019 17:14,8/7/2019 17:20,0,100,326,1,EN,1,30,1,,,,,,4.61,23.293,26.221,5,0,50,50,100,0,0,0,50,50,25,35,40,0,0,100,97,6,55,0,75,65,0,2,2,0,3,1,2,2,5,2,2,3,1,1,1,2,2,2,1,1,1,2,1,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,75,25,3,3,2,1,2,1,,4,2,7,4,5,,1,22,3,1,0,6,0,1,,,,2,,,2,,,2,,,1,
